Dec 08 11:15:41.364 INFO: manager: 1.2.2
Dec 08 12:11:30.403 INFO: ManagerServant: Master manager not found
Dec 08 12:11:40.427 INFO: ManagerServant: Master manager not found
Dec 08 12:11:50.452 INFO: ManagerServant: Master manager not found
Dec 08 12:12:00.476 INFO: ManagerServant: Master manager not found
Dec 08 12:12:10.505 INFO: ManagerServant: Master manager not found
Dec 08 12:12:20.526 INFO: ManagerServant: Master manager not found
Dec 08 12:12:30.548 INFO: ManagerServant: Master manager not found
Dec 08 12:12:40.575 INFO: ManagerServant: Master manager not found
Dec 08 12:12:50.601 INFO: ManagerServant: Master manager not found
Dec 08 12:13:00.638 INFO: ManagerServant: Master manager not found
Dec 08 12:13:10.672 INFO: ManagerServant: Master manager not found
Dec 08 12:13:20.693 INFO: ManagerServant: Master manager not found
Dec 08 12:13:30.725 INFO: ManagerServant: Master manager not found
Dec 08 12:13:40.761 INFO: ManagerServant: Master manager not found
Dec 08 12:13:50.798 INFO: ManagerServant: Master manager not found
Dec 08 12:14:00.836 INFO: ManagerServant: Master manager not found
Dec 08 12:14:10.872 INFO: ManagerServant: Master manager not found
Dec 08 12:14:20.902 INFO: ManagerServant: Master manager not found
Dec 08 12:14:30.925 INFO: ManagerServant: Master manager not found
Dec 08 12:14:40.946 INFO: ManagerServant: Master manager not found
Dec 08 12:14:50.974 INFO: ManagerServant: Master manager not found
Dec 08 12:15:00.994 INFO: ManagerServant: Master manager not found
Dec 08 12:15:11.025 INFO: ManagerServant: Master manager not found
Dec 08 12:15:21.051 INFO: ManagerServant: Master manager not found
Dec 08 12:15:31.081 INFO: ManagerServant: Master manager not found
Dec 08 12:15:41.117 INFO: ManagerServant: Master manager not found
Dec 08 12:15:51.149 INFO: ManagerServant: Master manager not found
Dec 08 12:16:01.185 INFO: ManagerServant: Master manager not found
Dec 08 12:16:11.219 INFO: ManagerServant: Master manager not found
Dec 08 12:16:21.246 INFO: ManagerServant: Master manager not found
Dec 08 12:16:31.270 INFO: ManagerServant: Master manager not found
Dec 08 12:16:41.297 INFO: ManagerServant: Master manager not found
Dec 08 12:16:51.332 INFO: ManagerServant: Master manager not found
Dec 08 12:17:01.370 INFO: ManagerServant: Master manager not found
Dec 08 12:17:11.409 INFO: ManagerServant: Master manager not found
Dec 08 12:17:21.438 INFO: ManagerServant: Master manager not found
Dec 08 12:17:31.461 INFO: ManagerServant: Master manager not found
Dec 08 12:17:41.493 INFO: ManagerServant: Master manager not found
Dec 08 12:17:51.525 INFO: ManagerServant: Master manager not found
Dec 08 12:18:01.565 INFO: ManagerServant: Master manager not found
Dec 08 12:18:11.600 INFO: ManagerServant: Master manager not found
Dec 08 12:18:21.638 INFO: ManagerServant: Master manager not found
Dec 08 12:18:31.677 INFO: ManagerServant: Master manager not found
Dec 08 12:18:41.709 INFO: ManagerServant: Master manager not found
Dec 08 12:18:51.745 INFO: ManagerServant: Master manager not found
Dec 08 12:19:01.781 INFO: ManagerServant: Master manager not found
Dec 08 12:19:11.815 INFO: ManagerServant: Master manager not found
Dec 08 12:19:21.845 INFO: ManagerServant: Master manager not found
Dec 08 12:19:31.871 INFO: ManagerServant: Master manager not found
Dec 08 12:19:41.901 INFO: ManagerServant: Master manager not found
Dec 08 12:19:51.929 INFO: ManagerServant: Master manager not found
Dec 08 12:20:01.963 INFO: ManagerServant: Master manager not found
Dec 08 12:20:11.985 INFO: ManagerServant: Master manager not found
Dec 08 12:20:22.005 INFO: ManagerServant: Master manager not found
Dec 08 12:20:32.037 INFO: ManagerServant: Master manager not found
Dec 08 12:20:42.071 INFO: ManagerServant: Master manager not found
Dec 08 12:20:52.101 INFO: ManagerServant: Master manager not found
Dec 08 12:21:02.137 INFO: ManagerServant: Master manager not found
Dec 08 12:21:12.175 INFO: ManagerServant: Master manager not found
Dec 08 12:21:22.204 INFO: ManagerServant: Master manager not found
Dec 08 12:21:32.234 INFO: ManagerServant: Master manager not found
Dec 08 12:21:42.266 INFO: ManagerServant: Master manager not found
Dec 08 12:21:52.291 INFO: ManagerServant: Master manager not found
Dec 08 12:22:02.319 INFO: ManagerServant: Master manager not found
Dec 08 12:22:12.345 INFO: ManagerServant: Master manager not found
Dec 08 12:22:22.373 INFO: ManagerServant: Master manager not found
Dec 08 12:22:32.400 INFO: ManagerServant: Master manager not found
Dec 08 12:22:42.432 INFO: ManagerServant: Master manager not found
Dec 08 12:22:52.463 INFO: ManagerServant: Master manager not found
Dec 08 12:23:02.490 INFO: ManagerServant: Master manager not found
Dec 08 12:23:12.522 INFO: ManagerServant: Master manager not found
Dec 08 12:23:22.552 INFO: ManagerServant: Master manager not found
Dec 08 12:23:32.575 INFO: ManagerServant: Master manager not found
Dec 08 12:23:42.605 INFO: ManagerServant: Master manager not found
Dec 08 12:23:52.641 INFO: ManagerServant: Master manager not found
Dec 08 12:24:02.679 INFO: ManagerServant: Master manager not found
Dec 08 12:24:12.711 INFO: ManagerServant: Master manager not found
Dec 08 12:24:22.739 INFO: ManagerServant: Master manager not found
